
2024/12/27 (15:11:24) | ===> btop++ v.1.4.0
2024/12/27 (15:11:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:15:12) | ===> btop++ v.1.4.0
2024/12/27 (15:15:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:17:19) | ===> btop++ v.1.4.0
2024/12/27 (15:17:19) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/27 (15:17:45) | ===> btop++ v.1.4.0
2024/12/27 (15:17:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:18:37) | ===> btop++ v.1.4.0
2024/12/27 (15:18:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:19:18) | ===> btop++ v.1.4.0
2024/12/27 (15:19:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:21:09) | ===> btop++ v.1.4.0
2024/12/27 (15:21:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:41:26) | ===> btop++ v.1.4.0
2024/12/27 (15:41:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:42:34) | ===> btop++ v.1.4.0
2024/12/27 (15:42:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:45:25) | ===> btop++ v.1.4.0
2024/12/27 (15:45:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (15:52:34) | ===> btop++ v.1.4.0
2024/12/27 (15:52:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/27 (15:56:48) | ===> btop++ v.1.4.0
2024/12/27 (15:56:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:02:38) | ===> btop++ v.1.4.0
2024/12/27 (16:02:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:03:32) | ===> btop++ v.1.4.0
2024/12/27 (16:03:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:04:48) | ===> btop++ v.1.4.0
2024/12/27 (16:04:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:05:05) | ===> btop++ v.1.4.0
2024/12/27 (16:05:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:06:10) | ===> btop++ v.1.4.0
2024/12/27 (16:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:10:05) | ===> btop++ v.1.4.0
2024/12/27 (16:10:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:11:26) | ===> btop++ v.1.4.0
2024/12/27 (16:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:14:52) | ===> btop++ v.1.4.0
2024/12/27 (16:14:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:17:22) | ===> btop++ v.1.4.0
2024/12/27 (16:17:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:22:57) | ===> btop++ v.1.4.0
2024/12/27 (16:22:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:24:23) | ===> btop++ v.1.4.0
2024/12/27 (16:24:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (16:27:24) | ===> btop++ v.1.4.0
2024/12/27 (16:27:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (17:03:26) | ===> btop++ v.1.4.0
2024/12/27 (17:03:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (17:04:34) | ===> btop++ v.1.4.0
2024/12/27 (17:04:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (17:06:07) | ===> btop++ v.1.4.0
